game,turn,on_turn_player,nested_pick,flat_pick,flat_wpct,flat_wpct_for_nested_pick,cgp
10,9,1,H1 VIB(E)Y,H1 VIB(E)Y,0.207931,0.207931,15/1A13/1S13/1SMUDGIER6/1I2A10/1Z2E10/1EL1D1Q8/2OVArIAL6/1OX1l1NEONATE2/1FY1I10/2G1C10/2EH11/2NA11/3I11/3K11 BDEITVY/DFILOPR 237/316 0
10,10,0,M3 PROFIL(E)D,M3 PROFIL(E)D,0.932071,0.932071,7V7/1A5I7/1S5B7/1SMUDGIER6/1I2A2Y7/1Z2E10/1EL1D1Q8/2OVArIAL6/1OX1l1NEONATE2/1FY1I10/2G1C10/2EH11/2NA11/3I11/3K11 DFILOPR/ADEGJTU 316/276 0
11,0,0,8H DWAM,8F DWAM,0.477187,0.464255,15/15/15/15/15/15/15/15/15/15/15/15/15/15/15 ADDFMTW/AEIILNY 0/0 0
11,1,1,K8 (M)INY,9J AYIN,0.425449,0.424713,15/15/15/15/15/15/15/7DWAM4/15/15/15/15/15/15/15 AEIILNY/ADFHILT 0/20 0
11,2,0,J8 (A)LIF,J8 (A)LIF,0.527261,0.527261,15/15/15/15/15/15/15/7DWAM4/10I4/10N4/10Y4/15/15/15/15 ADFHILT/AEEILLZ 20/18 0
11,3,1,7G ZEA,7G ZEA,0.432002,0.432002,15/15/15/15/15/15/15/7DWAM4/9LI4/9IN4/9FY4/15/15/15/15 AEEILLZ/ABDHNOT 18/43 0
11,4,0,6H NTH,6H NTH,0.494372,0.494372,15/15/15/15/15/15/6ZEA6/7DWAM4/9LI4/9IN4/9FY4/15/15/15/15 ABDHNOT/AEIKLLU 43/50 0
11,5,1,H2 LIKE(NED),5J ALKIE,0.400512,0.373563,15/15/15/15/15/7NTH5/6ZEA6/7DWAM4/9LI4/9IN4/9FY4/15/15/15/15 AEIKLLU/ABDEOU? 50/67 0
11,6,0,2H (L)ABOUrED,2H (L)ABOUrED,0.744967,0.744967,15/7L7/7I7/7K7/7E7/7NTH5/6ZEA6/7DWAM4/9LI4/9IN4/9FY4/15/15/15/15 ABDEOU?/AILPRU? 67/67 0
11,7,1,12D PARULIs,12D PARULIs,0.344990,0.344990,15/7LABOUrED/7I7/7K7/7E7/7NTH5/6ZEA6/7DWAM4/9LI4/9IN4/9FY4/15/15/15/15 AILPRU?/INSSSTV 67/149 0
